Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,emi_burden,risk_score,age_group,anomaly_flag,is_anomaly,zscore_anomaly
911,0,0.9999999,38,0,2628.0,5400.0,6,0,1,0,0.0,0.4865765598963155,1051.79999994,Mid,-1,1,0
915,0,0.707145775,64,0,3930.0,5400.0,13,0,2,0,0.0,0.7276430290686909,1572.424287465,Senior,-1,1,0
925,0,0.0427599,52,0,7806.0,5400.0,21,0,2,0,2.0,1.4452879096463618,3122.42565594,Senior,-1,1,1
932,0,0.994269551,41,0,2809.0,5400.0,5,0,2,0,0.0,0.5200888724310313,1124.1965617306,Mid,-1,1,0
984,0,0.212785199,37,1,106.2727273,21.0,6,0,2,0,4.0,4.830578513636364,42.6367620394,Mid,-1,1,0
992,1,0.228742911,38,2,3558.0,5400.0,19,0,3,0,2.0,0.6587668950194409,1423.3372457466,Mid,-1,1,0
1016,0,0.897369039,57,0,2910.0,5400.0,16,0,0,0,0.0,0.5387891131271987,1164.5384214234,Senior,-1,1,0
1019,0,0.83983667,49,0,3308.0,5400.0,8,0,2,0,1.0,0.612479170523977,1323.703902002,Mid,-1,1,0
1037,0,0.258812185,35,0,3947.0,5400.0,4,0,1,0,0.0,0.7307905943343825,1578.955287311,Mid,-1,1,0
1054,0,0.048037041,30,0,2235.0,5400.0,5,0,1,0,0.0,0.4138122569894464,894.0288222246,Young,-1,1,0
1128,0,0.820545297,45,1,3799.0,5400.0,4,0,2,0,2.0,0.703388261433068,1520.0923271782,Mid,-1,1,0
1152,0,0.601758577,36,0,2162.0,5400.0,10,0,1,0,2.0,0.4002962414367709,865.1610551462,Mid,-1,1,0
1157,0,0.926059916,48,1,12546.0,5400.0,8,0,4,0,0.0,2.3229031660803554,5018.955635949601,Mid,-1,1,1
1167,0,0.823059361,71,1,2061.0,5400.0,6,1,0,1,0.0,0.3815960007406035,824.8938356166001,Senior,-1,1,0
1168,1,0.902797114,45,3,2788.0,5400.0,8,2,1,2,0.0,0.5162007035734123,1115.7416782684,Mid,-1,1,0
1202,0,0.0,48,0,4212.0,5400.0,6,0,3,0,0.0,0.7798555822995742,1684.8000000000002,Mid,-1,1,0
1234,0,0.593788744,63,0,3400.0,5400.0,13,0,2,0,1.0,0.6295130531383077,1360.3562732464,Senior,-1,1,0
1239,0,0.002124734,73,0,3256.0,5400.0,9,0,1,0,0.0,0.6028513238289206,1302.4012748404,Senior,-1,1,0
1252,0,0.465521089,47,0,4085.0,5400.0,8,0,1,0,0.0,0.7563414182558785,1634.2793126534,Mid,-1,1,0
1264,0,0.414618818,70,0,4681.0,5400.0,21,0,2,0,0.0,0.8666913534530643,1872.6487712908,Senior,-1,1,0
1281,0,0.036422035,30,0,1756.0,1.0,10,0,2,0,0.0,878.0,702.4218532210001,Young,-1,1,1
1294,0,0.153327953,61,0,3851.0,5400.0,6,0,2,0,1.0,0.7130161081281244,1540.4919967718,Senior,-1,1,0
1299,0,0.796278584,44,0,2518.0,5400.0,6,5,1,2,4.0,0.4662099611183114,1007.6777671504,Mid,-1,1,0
1311,0,0.987501953,52,0,3844.0,5400.0,12,0,2,0,0.0,0.7117200518422514,1538.1925011718,Senior,-1,1,0
1342,0,0.173948934,68,0,3015.0,5400.0,7,0,2,0,0.0,0.5582299574152935,1206.1043693604,Senior,-1,1,0
1344,0,0.202774562,59,0,6994.0,5400.0,23,0,3,0,2.0,1.2949453804850954,2797.7216647372,Senior,-1,1,1
1363,0,0.099145861,72,0,2430.0,5400.0,23,0,2,0,1.0,0.4499166820959082,972.0594875166,Senior,-1,1,0
1396,0,0.241621668,40,0,3228.0,5400.0,11,0,2,0,0.0,0.5976670986854287,1291.3449730008,Mid,-1,1,0
1398,0,0.892003484,60,0,3955.0,5400.0,12,0,2,0,0.0,0.7322718015182373,1582.5352020904,Senior,-1,1,0
1464,0,0.037448128,73,0,2498.0,5400.0,4,0,2,0,0.0,0.4625069431586743,999.2224688768,Senior,-1,1,0
1484,0,0.088300431,35,0,3041.0,5400.0,8,0,1,0,0.0,0.5630438807628217,1216.4529802586,Mid,-1,1,0
1499,0,0.9999999,47,0,2174.0,5400.0,1,0,1,0,0.0,0.4025180522125532,870.19999994,Mid,-1,1,0
1514,0,0.956397524,35,2,3268.0,5400.0,15,0,1,0,0.0,0.6050731346047028,1307.7738385144,Mid,-1,1,0
1541,0,0.056334303,63,0,4542.0,5400.0,12,0,3,0,0.0,0.8409553786335864,1816.8338005818,Senior,-1,1,0
1561,0,0.933834167,57,2,6696.0,5400.0,8,0,2,0,0.0,1.2397704128865026,2678.9603005002,Senior,-1,1,1
1598,0,0.54691406,67,0,2969.0,5400.0,6,0,2,0,0.0,0.5497130161081282,1187.928148436,Senior,-1,1,0
1606,0,0.911540163,46,0,3353.0,5400.0,7,0,1,0,1.0,0.6208109609331606,1341.7469240978,Mid,-1,1,0
1616,0,0.839907542,29,0,364.0,2.0,8,0,0,0,0.0,121.33333333333331,146.1039445252,Young,-1,1,0
1617,0,0.286009847,65,0,3622.0,5400.0,5,0,1,0,0.0,0.6706165524902796,1448.9716059082002,Senior,-1,1,0
1660,0,0.337735888,48,1,3005.0,5400.0,11,0,1,0,2.0,0.5563784484354749,1202.2026415328,Mid,-1,1,0
1672,0,0.093454384,43,0,3986.0,5400.0,25,0,2,0,0.0,0.7380114793556749,1594.4560726304,Mid,-1,1,0
1727,0,0.982403519,57,0,2357.0,5400.0,8,0,1,1,0.0,0.4364006665432327,943.3894421114,Senior,-1,1,0
1729,0,0.258431665,70,0,4045.0,5400.0,8,0,1,0,1.0,0.7489353823366043,1618.155058999,Senior,-1,1,0
1731,1,0.537417139,38,1,2748.0,5400.0,5,3,1,3,0.0,0.5087946676541382,1099.5224502834,Mid,-1,1,0
1738,0,0.339794165,59,0,3115.0,5400.0,19,0,1,0,0.0,0.576745047213479,1246.203876499,Senior,-1,1,0
1761,0,0.056476222,59,0,3612.0,5400.0,7,0,2,0,0.0,0.6687650435104611,1444.8338857332,Senior,-1,1,0
1765,0,0.212426252,36,0,2743.0,5400.0,8,0,1,0,0.0,0.5078689131642289,1097.3274557512,Mid,-1,1,0
1792,0,0.9999999,31,1,813.0,5400.0,4,2,0,1,0.0,0.1505276800592483,325.79999994,Mid,-1,1,0
1818,0,0.342435003,55,0,3840.0,5400.0,5,0,2,0,0.0,0.710979448250324,1536.2054610018,Senior,-1,1,0
1841,0,0.001128491,81,1,4546.0,5400.0,13,0,5,0,0.0,0.8416959822255138,1818.4006770946,Senior,-1,1,0
1862,1,0.955200471,44,0,2277.0,5400.0,10,0,1,0,0.0,0.4215885947046843,911.3731202826,Mid,-1,1,0
1891,0,0.9999999,24,0,602.0,5400.0,0,0,0,0,0.0,0.1114608405850768,241.39999994,Young,-1,1,0
1902,0,0.906381727,50,0,5317.0,5400.0,16,0,2,0,2.0,0.984447324569524,2127.3438290362,Mid,-1,1,0
1907,0,0.033934804,57,0,5354.0,5400.0,9,0,2,0,4.0,0.9912979077948528,2141.6203608824,Senior,-1,1,0
1924,0,0.076419464,44,0,4200.0,5400.0,23,0,3,0,3.0,0.7776337715237919,1680.0458516784,Mid,-1,1,0
1954,0,0.291790743,37,0,4729.0,5400.0,6,0,2,0,0.0,0.8755785965561933,1891.7750744458,Mid,-1,1,0
1958,1,0.9999999,36,0,2730.0,5400.0,2,0,2,0,0.0,0.5054619514904647,1092.59999994,Mid,-1,1,0
2028,0,0.264172212,58,0,4068.0,5400.0,6,0,1,0,0.0,0.753193852990187,1627.3585033272,Senior,-1,1,0
2037,0,0.640208437,39,0,2441.0,5400.0,7,0,1,0,0.0,0.4519533419737085,976.7841250622,Mid,-1,1,0
2038,0,0.187268721,69,0,3740.0,5400.0,9,0,1,0,0.0,0.6924643584521385,1496.1123612326,Senior,-1,1,0
2052,0,0.968071818,60,0,4908.0,5400.0,21,0,2,0,0.0,0.9087206072949454,1963.7808430908,Senior,-1,1,0
2073,0,0.395090522,42,0,3524.0,5400.0,7,0,1,0,1.0,0.6524717644880578,1409.8370543132,Mid,-1,1,0
2079,0,0.99000999,35,1,1254.0,5400.0,10,1,0,0,0.0,0.2321792260692464,502.194005994,Mid,-1,1,0
2088,0,0.9999999,50,0,2701.0,5400.0,1,0,1,0,0.0,0.5000925754489909,1080.9999999400002,Mid,-1,1,0
2094,0,0.0,50,0,1222.0,1.0,19,0,1,0,0.0,611.0,488.8,Mid,-1,1,1
2114,0,0.0,37,0,2865.0,5400.0,8,0,5,0,2.0,0.5304573227180152,1146.0,Mid,-1,1,0
2126,0,0.091788469,59,0,4050.0,5400.0,9,0,3,0,3.0,0.7498611368265136,1620.0550730814,Senior,-1,1,0
2141,0,0.156203563,36,1,4179.0,5400.0,7,0,2,0,0.0,0.773745602666173,1671.6937221378,Mid,-1,1,0
2150,0,0.276054839,54,0,8260.0,5400.0,10,0,2,0,0.0,1.529346417330124,3304.1656329034,Senior,-1,1,1
2192,0,0.036329154,52,0,3617.0,5400.0,10,0,1,0,0.0,0.6696907980003703,1446.8217974924005,Senior,-1,1,0
2252,0,0.487686935,49,0,4467.0,5400.0,12,0,2,0,0.0,0.8270690612849473,1787.0926121610005,Mid,-1,1,0
2253,0,0.025665445,58,2,4034.0,5400.0,14,0,2,0,3.0,0.746898722458804,1613.6153992670002,Senior,-1,1,0
2266,1,0.306928195,49,1,5072.0,5400.0,16,0,2,0,0.0,0.9390853545639696,2028.9841569170003,Mid,-1,1,0
2343,0,0.433248383,44,0,2665.0,5400.0,9,0,1,0,0.0,0.4934271431216441,1066.2599490298,Mid,-1,1,0
2348,0,0.060837205,69,0,219.0,1.0,14,0,0,0,0.0,109.5,87.636502323,Senior,-1,1,0
2358,0,0.919452151,71,1,4942.0,5400.0,30,1,1,0,0.0,0.9150157378263284,1977.3516712906005,Senior,-1,1,0
2376,0,0.066923375,74,0,2561.0,5400.0,5,0,1,0,0.0,0.4741714497315312,1024.440154025,Senior,-1,1,0
2427,0,0.53648363,30,1,3106.0,5400.0,9,0,1,0,0.0,0.5750786891316423,1242.7218901780002,Young,-1,1,0
2431,0,0.9999999,60,0,2265.0,5400.0,3,0,2,0,0.0,0.419366783928902,906.59999994,Senior,-1,1,0
2453,0,0.353155374,45,0,1435.0,1.0,13,0,2,0,2.0,717.5,574.2118932244,Mid,-1,1,1
2459,0,0.955391478,59,0,1931.0,5400.0,8,0,1,0,0.0,0.3575263840029624,772.9732348868001,Senior,-1,1,0
2481,0,0.501810178,63,0,4903.0,5400.0,24,0,2,0,0.0,0.907794852805036,1961.5010861068,Senior,-1,1,0
2492,0,0.006367642,62,0,6413.0,5400.0,18,0,2,0,0.0,1.1873727087576376,2565.2038205852004,Senior,-1,1,0
2500,0,0.201010872,58,0,5285.0,5400.0,12,0,2,0,0.0,0.9785224958341048,2114.1206065232,Senior,-1,1,0
2515,0,0.926799199,81,1,2110.0,5400.0,6,0,0,0,0.0,0.3906683947417145,844.5560795194,Senior,-1,1,0
2567,0,0.460788025,44,0,2977.0,5400.0,6,0,1,0,1.0,0.551194223291983,1191.076472815,Mid,-1,1,0
2582,0,0.00624375,78,0,2357.0,5400.0,7,0,1,0,0.0,0.4364006665432327,942.80374625,Senior,-1,1,0
2584,0,0.579950004,41,0,2195.0,5400.0,9,0,1,0,0.0,0.4064062210701722,878.3479700024,Mid,-1,1,0
2594,0,0.613277345,38,0,2965.0,5400.0,7,0,2,0,0.0,0.5489724125162007,1186.367966407,Mid,-1,1,0
2620,0,0.0,43,0,4320.0,5400.0,14,0,3,0,2.0,0.7998518792816145,1728.0,Mid,-1,1,0
2648,1,0.9999999,36,2,3931.0,5400.0,5,0,2,2,0.0,0.7278281799666728,1572.9999999400002,Mid,-1,1,0
2656,0,0.944482897,61,1,2582.0,5400.0,9,2,1,0,2.0,0.4780596185891501,1033.3666897382,Senior,-1,1,0
2665,0,0.819906832,58,0,10370.0,5400.0,17,0,3,0,0.0,1.9200148120718383,4148.4919440992,Senior,-1,1,1
2681,0,0.9999999,54,0,1905.0,5400.0,2,0,1,0,0.0,0.3527124606554341,762.59999994,Senior,-1,1,0
2688,0,0.922613341,34,0,3297.0,5400.0,9,0,1,1,0.0,0.6104425106461766,1319.3535680046002,Mid,-1,1,0
2692,0,0.026308992,35,0,4299.0,5400.0,6,0,3,0,0.0,0.7959637104239956,1719.6157853952002,Mid,-1,1,0
2703,0,0.338668226,51,0,3410.0,5400.0,16,0,2,0,0.0,0.6313645621181263,1364.2032009356,Senior,-1,1,0
2747,0,0.9999999,35,0,3831.0,5400.0,4,0,1,0,0.0,0.7093130901684873,1532.9999999400002,Mid,-1,1,0
2799,0,0.0,72,0,3152.0,5400.0,7,0,2,0,0.0,0.5835956304388076,1260.8000000000002,Senior,-1,1,0
2893,0,0.032232209,67,0,4686.0,5400.0,10,0,3,0,2.0,0.8676171079429735,1874.4193393254,Senior,-1,1,0
2904,0,0.00010526,71,0,3597.0,5400.0,8,0,4,0,0.0,0.6659877800407332,1438.800063156,Senior,-1,1,0
2907,0,0.711147741,44,0,2328.0,5400.0,5,0,1,0,0.0,0.4310312905017589,931.6266886446,Mid,-1,1,0
2926,0,0.9999999,28,0,585.0,5400.0,1,0,0,0,0.0,0.1083132753193853,234.59999994,Young,-1,1,0
2944,0,0.9999999,52,0,6408.0,5400.0,5,0,1,0,0.0,1.1864469542677285,2563.7999999400004,Senior,-1,1,0
2951,0,0.027237104,56,0,6420.0,5400.0,10,0,3,0,0.0,1.1886687650435104,2568.0163422624,Senior,-1,1,0
2956,0,0.056602196,46,0,4763.0,5400.0,9,0,1,0,0.0,0.8818737270875764,1905.2339613176,Mid,-1,1,0
2958,1,0.686354379,27,0,805.0,5400.0,2,0,0,0,1.0,0.1490464728753934,322.4118126274,Young,-1,1,0
2964,0,0.0,35,0,4835.0,5400.0,7,0,1,0,0.0,0.89520459174227,1934.0,Mid,-1,1,0
2981,0,0.9999999,31,0,559.0,5400.0,8,0,1,0,0.0,0.103499351971857,224.19999994000003,Mid,-1,1,0
3004,0,0.246641902,45,0,3175.0,5400.0,9,0,2,0,0.0,0.5878541010923903,1270.1479851412,Mid,-1,1,0
3058,0,0.032092449,73,0,2448.0,5400.0,11,0,2,0,0.0,0.4532493982595815,979.2192554694,Senior,-1,1,0
3138,0,0.081697277,66,0,3417.0,5400.0,6,0,1,0,0.0,0.6326606184039992,1366.8490183662002,Senior,-1,1,0
3160,0,0.169468356,61,0,5808.0,5400.0,11,0,2,0,0.0,1.075356415478615,2323.3016810136,Senior,-1,1,0
3168,0,0.128930684,54,0,5174.0,5400.0,10,0,2,0,1.0,0.9579707461581188,2069.6773584104,Senior,-1,1,0
3172,0,0.735804585,52,0,6720.0,5400.0,6,0,3,0,0.0,1.244214034438067,2688.441482751,Senior,-1,1,1
3197,0,0.895649944,25,0,917.0,5400.0,10,0,0,0,0.0,0.1697833734493612,367.3373899664,Young,-1,1,0
3201,0,0.014462292,70,0,6852.0,5400.0,18,0,1,0,0.0,1.2686539529716718,2740.8086773752,Senior,-1,1,1
3204,0,0.009306009,34,0,3206.0,5400.0,10,0,3,0,0.0,0.5935937789298278,1282.4055836054,Mid,-1,1,0
3247,0,0.0,43,0,5110.0,5400.0,8,0,2,0,2.0,0.9461210886872802,2044.0,Mid,-1,1,0
3257,0,0.062123447,59,0,7327.0,5400.0,18,0,15,0,0.0,1.356600629513053,2930.8372740682003,Senior,-1,1,1
3288,0,0.409143189,65,0,5969.0,5400.0,19,0,1,0,1.0,1.1051657100536938,2387.8454859134,Senior,-1,1,0
3289,0,0.281489173,71,0,5024.0,5400.0,9,0,3,0,0.0,0.9301981114608406,2009.7688935038,Senior,-1,1,0
3296,0,0.237317827,35,0,2222.0,5400.0,10,0,1,0,0.0,0.4114052953156822,888.9423906962,Mid,-1,1,0
3309,0,0.020667849,42,0,3634.0,5400.0,10,0,2,0,0.0,0.6728383632660618,1453.6124007094002,Mid,-1,1,0
3333,0,0.0,74,0,2261.0,5400.0,7,0,1,0,0.0,0.4186261803369746,904.4,Senior,-1,1,0
3346,0,0.9999999,27,0,881.0,5400.0,3,0,1,0,0.0,0.1631179411220144,352.99999994,Young,-1,1,0
3359,0,0.772934899,62,0,2165.0,5400.0,7,0,1,0,0.0,0.4008516941307165,866.4637609394,Senior,-1,1,0
3390,0,0.114043727,74,0,2636.0,5400.0,14,0,3,0,0.0,0.4880577670801703,1054.4684262362,Senior,-1,1,0
3404,0,0.952403808,59,1,1921.0,5400.0,5,0,2,0,0.0,0.3556748750231439,768.9714422848001,Senior,-1,1,0
3418,0,0.018886158,33,0,3756.0,5400.0,2,0,1,0,0.0,0.6954267728198482,1502.4113316948,Mid,-1,1,0
3432,0,0.9999999,75,0,2319.0,5400.0,9,0,1,0,0.0,0.4293649324199222,928.19999994,Senior,-1,1,0
3472,0,0.307546921,59,0,3661.0,5400.0,7,0,1,0,3.0,0.6778374375115719,1464.5845281526,Senior,-1,1,0
3477,0,0.9999999,62,1,2110.0,5400.0,4,0,1,0,0.0,0.3906683947417145,844.59999994,Senior,-1,1,0
3490,1,0.708234174,55,3,2459.0,5400.0,10,0,2,0,0.0,0.455286058137382,984.0249405044,Senior,-1,1,0
3493,0,0.342432034,57,1,2874.0,5400.0,15,0,2,0,0.0,0.5321236807998518,1149.8054592204,Senior,-1,1,0
3500,0,0.30028332,58,0,3615.0,5400.0,13,0,2,1,0.0,0.6693204962044066,1446.180169992,Senior,-1,1,0
3507,0,0.108635655,48,0,5774.0,5400.0,9,0,5,0,0.0,1.069061284947232,2309.665181393,Mid,-1,1,0
3534,0,0.441912454,64,3,7582.0,5400.0,19,0,2,1,0.0,1.403814108498426,3033.0651474724,Senior,-1,1,1
3575,0,0.947817059,70,0,4471.0,5400.0,10,0,1,0,0.0,0.8278096648768747,1788.9686902354,Senior,-1,1,0
3580,0,0.801448481,64,0,3259.0,5400.0,10,0,0,0,1.0,0.6034067765228661,1304.0808690886,Senior,-1,1,0
3589,0,0.088509958,29,0,2816.0,5400.0,6,0,2,0,0.0,0.5213849287169042,1126.4531059748,Young,-1,1,0
3658,0,0.121471896,51,0,4783.0,5400.0,12,0,1,0,2.0,0.8855767450472135,1913.2728831376,Senior,-1,1,0
3671,0,0.01347141,35,0,3260.0,5400.0,12,0,2,0,0.0,0.603591927420848,1304.008082846,Mid,-1,1,0
3701,0,0.098066711,32,0,248.0,1.0,7,0,0,0,4.0,124.0,99.2588400266,Mid,-1,1,0
3726,0,0.107607579,76,0,2889.0,5400.0,17,0,2,0,0.0,0.5349009442695797,1155.6645645474002,Senior,-1,1,0
3742,0,0.092636424,60,0,3868.0,5400.0,16,0,2,0,0.0,0.7161636733938159,1547.2555818544,Senior,-1,1,0
3753,0,0.067161455,27,1,434.0,1.0,10,0,1,0,1.0,217.0,173.640296873,Young,-1,1,0
3757,0,0.010487462,69,0,4534.0,5400.0,23,0,2,0,0.0,0.8394741714497316,1813.6062924772,Senior,-1,1,0
3758,0,0.417356182,61,0,2864.0,5400.0,14,0,2,0,1.0,0.5302721718200333,1145.8504137092002,Senior,-1,1,0
3774,0,0.393518102,69,0,4693.0,5400.0,9,0,2,0,0.0,0.8689131642288465,1877.4361108612,Senior,-1,1,0
3785,0,0.075202927,34,0,5621.0,5400.0,8,0,2,0,0.0,1.040733197556008,2248.4451217562,Mid,-1,1,0
3814,0,0.001621578,76,0,3261.0,5400.0,5,0,2,0,1.0,0.6037770783188299,1304.4009729468,Senior,-1,1,0
3825,0,0.009631325,72,1,378.0,1.0,5,1,2,0,0.0,189.0,151.205778795,Senior,-1,1,0
3844,0,0.659236332,73,4,2098.0,5400.0,12,0,1,0,0.0,0.3884465839659322,839.5955417992001,Senior,-1,1,0
3849,0,0.756286457,61,0,3025.0,5400.0,9,0,2,0,1.0,0.560081466395112,1210.4537718742,Senior,-1,1,0
3861,0,0.644550406,38,0,6424.0,5400.0,10,0,4,0,0.0,1.189409368635438,2569.9867302436005,Mid,-1,1,0
3868,0,0.896284149,48,0,3907.0,5400.0,12,0,2,0,0.0,0.7233845584151083,1563.3377704894,Mid,-1,1,0
3891,0,0.055948367,54,0,4196.0,5400.0,9,0,2,0,2.0,0.7768931679318645,1678.4335690202,Senior,-1,1,0
3934,0,0.9999999,41,0,1851.0,5400.0,4,0,2,1,0.0,0.342714312164414,740.9999999400001,Mid,-1,1,0
3970,0,0.856761937,38,0,861.5,1.0,5,0,2,0,2.0,430.75,345.1140571622,Mid,-1,1,1
3988,0,0.860797645,44,0,2735.0,5400.0,6,0,2,0,0.0,0.506387705980374,1094.516478587,Mid,-1,1,0
3989,1,0.406654055,55,1,4239.0,5400.0,12,0,2,1,0.0,0.7848546565450842,1695.843992433,Senior,-1,1,0
3995,0,0.717336537,45,0,2352.0,5400.0,6,0,3,0,0.0,0.4354749120533234,941.2304019222,Mid,-1,1,0
4001,0,0.258414887,60,0,3414.0,5400.0,15,0,4,0,0.0,0.6321051657100537,1365.7550489322002,Senior,-1,1,0
4006,1,0.9999999,36,3,1848.0,5400.0,4,1,1,2,0.0,0.3421588594704684,739.79999994,Mid,-1,1,0
4009,0,0.224512885,40,1,4452.0,5400.0,8,0,1,0,0.0,0.8242917978152194,1780.934707731,Mid,-1,1,0
4044,0,0.007390064,94,0,3.93e-05,203500.0,5,0,0,0,0.0,1.9311944413049567e-10,0.0044497584,Senior,-1,1,1
4057,0,0.446570375,46,0,3407.0,5400.0,12,0,1,0,0.0,0.6308091094241807,1363.0679422250005,Mid,-1,1,0
4122,0,0.0,65,0,4803.0,5400.0,8,0,1,0,0.0,0.8892797630068506,1921.2,Senior,-1,1,0
4135,0,0.73076203,68,0,3618.0,5400.0,11,0,1,0,1.0,0.6698759488983521,1447.638457218,Senior,-1,1,0
4145,0,0.120690405,62,0,4626.0,5400.0,7,0,2,0,0.0,0.8565080540640622,1850.472414243,Senior,-1,1,0
4152,0,0.033997044,57,0,8078.0,5400.0,10,0,3,0,0.0,1.4956489538974265,3231.2203982264004,Senior,-1,1,1
4162,0,0.461281367,40,0,4288.0,5400.0,11,0,2,0,2.0,0.7939270505461952,1715.4767688202,Mid,-1,1,0
